COMPOSER,ARRANGER,TITLE,MEDIUM,CATEGORY,SHELF_X,PUBLISHER,DATE_ADDED,PERFORMED
"King, KL",,King Henry,we/march,march size,0446,King,,
"King, KL",,"Lieutenant-Commander, The",we/march,march size,0447,King,,
"King, KL",,"Night in June, A",we/march,march size,0618,Barnhouse,,
"King, KL",,"Ohio Special, The",we/march,march size,0448,King,,
"King, KL",,"Purple Pagent, The",we/march,march size,0445,King,,
"King, KL",,Trmb King,we/march,march size,0449,King,,
"King, KL",,"Troubador, The",we/march,march size,0580,Barnhouse,,
King/Stewart/Price,,Slow Poke,we,march size,0450,Leonard,,
"Kinyon, J",,Amer Mrch,we,march size,0760,Luverne,,
"Kinyon, J",,Ceremonial Mrch,we,march size,0710,Luverne,,
"Kinyon, J",,Jazz in a Mellow Mood,we,elem band,0998,Alfred,,
"Kinyon, J",,Ocala Mrch,we,march,0781,Alfred Mus Co,,
"Kinyon, J",,"Phantom Bugle, The",we,elem band,0889,Alfred Mus Co,,
"Kinyon, J",,"Time is Now,The(Beethoven Persp)",we,,0958,Alfred,,
"Kirk, T",,Smoky Mountain Suite,we,,0662,Summy,,
Klohr,,Heads Up,we,march size,0570,Church,,
"Konagaya, S.",,Japanese Tune,we,,1593,,,
Kopetz,,"Variations on ""Lobe Den Herrn""",we,,1405,Alfred,2000/02,
"Korte, K",,Gestures,we+cl+bass,,0897,Elkan-Vogel,,
Kosma,,Autumn Leaves,we,march size,0451,Leonard,,
Koury,Shahin,Gunsmoke Mrch,we,march size,0750,Luverne,,
"Kraemer, H",,Winds & Voices,we,,0728,Tempo,,
"Kurka, R",,"Good Soldier Schweik Suite, The",we,,0834,Weintraub Mus,,
"Laas, B",,"Concert Digest, A",we+n,,0925,Belwin,,
LaGassy,,Sequoia (A Tone Painting),we,,0110,Kjos,,
"Lake, ML",,Lakesonian March,we/march,march size,0452,Fischer,,
"Lamm, R",,Saturday in the Park,we,,0922,Hansen,,
Larew,,Highway Patrol,we,march size,0453,Dalbey,,
"Larson, Jonathon","Bocook, Jay",Music From Rent,we,broadway,1462,Hal Leonard,2000/03,
Latham,,Plymouth,we,,0766,Summy-Birchard,,
Latham,,Proud Heritage,we/march,march,0257,Summy-Birchard,,
Lauder,,Blue Note Rhap,we,elem band,0997,Alfred,,
Lauder,,Rocko Poco,we,elem band,0920,Alfred,,
Laurendeau,,Armada,we,march size,0571,Fischer,,
Laurendeau,,Flag of Truce,we,march size,0568,Fischer,,
Laurendeau,,Flying Colors,we,march size,0453,Fischer,,
Laurendeau,,Land of the Maple,we,march size,0455,Fischer,,
"Lauridsen, Morten",Reynolds,O Magnum Mysterium,we,,1568,Peer Music,2006/07,
LaValle,,United Press Mrch,we,march size,0456,S. Fox,,
Lavalle/Tarto,,"Trpt Polka, The",we+Tmpt,feature,0112,Sam Fox,,
Lavalle/Ventre,,Pitter Pat Parade,we,March,0111,Sam Fox,,
Lawrence,"Newsom, T",Contentment Eb Sax Solo+Band,we+sax,feature,1034,Kendor,,
Lawrence,Sciacca,Honolulu Moon,we,march size,0583,Feist,,
"Leckrone, M",,Matrix,we,overture,1049,Studio 224,,
Lecocq,Barnes,Girofle - Girofla,we,,0683,Barnhouse,,
Lecuona,Anthony,"""Andalucia""(Cordoba)",we,,0113,Marks,,
Lecuona,"Nestico, Sammy",Malaguena,we,,1498,Hal Leonard,2001/03,
"Lee, J",,Armistice Day,we,march size,0611,Leonard,,
"Lee, J",,"Big Top, The",we,march size,0613,Leonard,,
Lee/Manners,Briegel,Pennsylvania Polka,we,march size,0457,Sharpiro-Berns,,
"Leemans, Pierre","Wiley, Charles A.",Marche Des Parachutis Tes Belges,we/march,march,1431,TRN,2000/02,
"Legrand, M","Polster, I",Michel Legrand in Concert,we,,0924,Big 3,,
Leibowitz/Frank/Ba,Yoder,My Indiana,we,March size,0689,Loop,,
Leidzen,,Danish Rhap,we,,0294,Mills,,
"Leigh, M",Red,"Dream is Amer, The",we,,0972,JC Penney,,
"Leigh, M",Erickson,"Impossible Dream, The",we,,0741,Sam Fox,,
Leigh/Coleman,Warrington,"""Wildcat""(Hey, Look Me Over)",we,march,0544,Morris,,
Leslie/Goetz/Meyer,,For Me & My Gal,we,march size,0594,Mills,,
Letts,Wright,"""Silver Jubilee Mrch""",we,march,0183,Chappell,,
"Lewis, J",Phillips,England's Carol,we,,0535,MJQ,,
"Lewis, W",,All Hail the Power,we,march size,0461,Fillmore,,
Lewis/De Rose,Yoder,"Song of the Seabees, The",we,march size,0460,Robbins,,
Leyden,,Serenade for a Picket Fence,we+xylo,features,0783,Educ Music Ser,,
Liszt,Helfer/Kent,Les Preludes,we,,0115,Fischer,,
Lithgow,,Invercargill,we/march,march size,0462,Fischer,,
Lithgow,Lake,Sons of New Zealand,we,march size,0463,Fischer,,
Livingston,,Mona Lisa,we,march size,0464,Leonard,,
"Lloyd Webber, Andr",Custer,The Music of the Night,we/broadwa,,1499,Hal Leonard,2001/04,
Loesser,"Fearing, S",New Ashnolean Marching Song,we,elem band,0923,Frank,,
Loewe,Yoder,"""Camelot""(Highlights)",we/broadwa,broadway,0679,Chappell,,
Loewe,Cacavas,"""My Fair Lady""",we/broadwa,march size,0564,Cappell,,
Loewe,Bennett,"""My Fair Lady""(selections)",we/broadwa,Broadway,0118,Chappell,,
"Lombardo, G",Sciacca,Last Night I Dreamed You Kissed,we,march size,0605,Feist,,
Lombardo/Green,Sciacca,Coquette,we,march size,0582,Feist,,
Long,,Art Show,we,,1022,Presser,,
Long,,Concertino Quin+Band,we+ww5,feature,0282,Leblanc,,
Long,,Yankee Doodle(Symp Var),we,,0116,Rubank,,
Longfield,,And the Mountains Echoed Gloria,we/xmas,,1482,C.L. Barnhouse,2000/11,
"Losey, FH",,"Cavalier Polka, The",we+cor,feature,0117,Star Music,,
Lovas,Haskin,"Armed Forces March, The",we/march,march size,0465,Lovas,,
"Lowden, B",,Feelings,we,,1052,Barnhouse,,
Lowe,Osterling,"""Camelot""(Marching Ov)",we/broadwa,march size,0644,Chappell,,
"Lucas, Elena R.",,Tatarian Dances,we,,1562,Belwin,2004/05,
"Lully, JB","Barr, RM","Kings' Musicians, The",we,,0665,Ludwig,,
Luther,Ployhar,"Mighty Fortress is our God, A",we,Elem Band,1099,Hal Leonard,,
Luther,"Ployhar, J","Mighty Fortress is our God, A",we,,1356,Byron Douglas,,
Luthold,Whear,"""Onward""(Mrch)",we,March,0119,Ludwig,,
Mack/Johnson,,Charleston,we,march size,0606,Harms,,
Macklin,Howland,Mood Pastoral,we,,0122,Kjos,,
"MacLellan, G",,Put Your Hand in the Hand,we,elem band,0858,Hal Leonard,,
Mahler,Reynolds,Symp #3 Finale,we,excerpts,1348,Shawnee,,
Mahoney/Wenrich,Yoder,When You Wore a Tulip,we,march size,0468,Feist,,
Mailman,,Alleluia,we,,0727,Mills,,
Mailman,,Liturgical Music for Band,we,,0653,Mills,,
Malneck/Signorelli,Leidzen,Park Ave Fant,we,,0123,Robbins,,
Malneck/Signorelli,Yoder,Stairway to the Stars,we,march size,0469,Robbins,,
Maltby,,Jazz Waltz,we,,0726,Fischer,,
"Maltby, R",,Hail to the Fleet,we,March,0626,Shawnee Press,,
Mancini,Brubaker,Mancini Magic,we,,1443,Warner Bros,2000/02,
Mancini,"Davis, K",Mancini Med,we,,0712,Manuscript,,
"Mangione, C","Lewis, F",Bellavia,we,,1080,Gates Music,,
Manilow/Panzer,Lowden,Even Now,we,elem band,1114,Kamakazi Music,,
"Mann, Barry","Bocook, Jay",On Broadway,we,,1542,Hal Leonard,2003/04,
Manning,Di Nino,"Eyes of Texas, The+Texas Fight",we,march size,0687,Kjos,,
"Margolis, Bob",,Royal Coronation Dances,we,,1585,Manhattan Beach,2006/07,
"Margolis, Bob",,The Renaissance Fair,we,,1586,Manhattan Beach,,
"Marquina, Pascual",Longfield,Espana Cani,we,,1471,C.L. Barnhouse,2000/07,
"Maslanka, David",,Heart Songs,we,,1505,Carl Fisher,2002/03,
"Maslanka, David",,Tears,,,1600,,,
Massenet,,"""Thais""(Meditation)",we+violin,feature,0286,Kjos,,
Massenet,Harding,"""Thais""(Meditation)",we+flute,feature,0971,Kjos,,
Massenet,"Holmes, GE",Prelude,we,,0124,Fitzsimmons,,
"Maxwell, E",,"""Differente""(Mrch)",we,march,0855,Southern,,
Mayhew,Briegel,It's a Sin to Tell a Lie,we,march size,0470,Bregman,,
McBeth,,"7th Seal, The",we,,0856,Southern,,
McBeth,,Beowulf,we,,1308,Southern,,
McBeth,,Caccia,we,symphony,1236,Southern,,
McBeth,,Canticle (11 winds + mallet),we,feature,1105,Southern,,
McBeth,,Chant & Jubilo,we,,1195,Southern,,
McBeth,,Effective Perf of Band Music,we,,0943,Southern,,
McBeth,,Kaddish,we,,1075,Southern,,
McBeth,,Masque,we,,1282,Southern,,
McBeth,,Of Sailors & Whales,we,,1363,Southern,  03/92,05/92
McBeth,,To Be Fed By Ravens,we,symphony,1189,Southern,,
McBride,,Baker Street,we,,0120,Gornston,,
McBride,Ross,Fugato,we,,0121,Fischer,,
McCarthy/Tierney,Schulz,Alice Blue Gown,we,march size,0466,Feist,,
"McCoy, EE",,Lights Out,we,march size,0467,Fischer,,
"McCoy, V","Bennett, RR","Hustle, The",we,,1054,Warner Bros.,,
"McDougall, I",,Bells,we,,1303,Jenson,,
"McFall, BG",,Fraternity,we,march size,0572,Star,,
"McGinnis, D",,Sym for Band,we,symphony,1060,Barnhouse,,
McGinty,,Choros,we,,1317,Queenwood,,
McGinty,,Syntonos,we,,1281,Southern,,
"McIntosh, L",,Ascendancy,we,,0934,Presser,,
"McLean, D","Polster, I",Amer Pie,we,,0847,MayDay Music,,
"Meij, J",,"""The Lord of the Rings""(Hobbits)",we,,1362,Amstel,,
Melillo,,Children & Chtonian Chase Jurass,we,,1438,,2000/02,
Melillo,,DNA and the Dino Jurassic Park,we,,1436,,2000/02,
Melillo,,Passing the Paradigm Jurassic Pa,we,,1437,,2000/02,
"Melillo, Stephen",,The Gift of Love and Epilogue from Erich,we,,1571,,,
Mendelssohn,Lake,Athalia(War Mrch of the Priest),we,March,0126,Fischer,,
Mendelssohn,Brunelli,Contus Choralis & Fugue,we,,1039,Chappell,,
Mendelssohn,Koff,Mendelssohn Concerto,we,,1386,Koff,FALL/93,
Mendelssohn,Greissle,Ov for Band,we,overture,0125,G. Schirmer,,
Mendelssohn,Shepard,Ruy Blas Ov,we,overture,0258,Pro Art,,
Mendelssohn,Shepard,Ruy Blas Ov,we,overture,1025,Pro Art,,
Menken,Moss,"""Beauty and the Beast"" Highlight",we/film,,1389,Jenson,FALL/93,
Menken,Moss,Aladdin,we/film,,1387,Hal Leonard,FALL/93,
"Menken, Alan","Moss, John",Highlights from Pocahontas,we/film,,1423,Hal Leonard,2000/02,
"Mennin, P",,Canzona,we,,1370,Fischer,,
Menotti,Lang,"""Sebastian Ballet""(Excerpts)",we,,0127,Ricordi,,
Meyerbeer,Lake,"""The Prophet""(Coronation Mrch)",we,march,0128,Fischer,,
Milhaud,"Smith, JN",Concerto for Perc,we+perc,feature,1175,Merion,,
Milhaud,,Suite Francaise,we,,0129,Leeds,,
Milhaud,,Suite Francaise,we,,1234,MCA Music,,
"Miller, HC",,"""International Peace"" March, The",we/march,march size,0581,Miller,,
Miller/Kahn/Cohn,Sciacca,You Don't Like it-Not Much,we,march size,0599,Feist,,
"Missal, J",,Ov for Band,we,overture,1233,Leblanc,,
Moffit,,Big Time Boogie,we,,0132,Fillmore Bros,,
Moffit,,Little Red Caboose,we,march size,0471,Fillmore,,
"Mohaupt, R",,Paganini Ov,we,Overture,0133,Schrimer,,
Monnot,,"Poor People of Paris, The",we,march size,0472,Leonard,,
Montenegro,Tatgenhorst,Fanfare,we,,0982,Barnhouse,,
Morris,,For Liberty,we,march size,0473,Church,,
Morrison,,Pythian March,we,march size,0474,Church,,
"Morrissey, J",,"American Weekend, An",we,,0134,Witmark,,
"Morrissey, J",,Carribbean Fant,we,,0130,Marks,,
"Morrissey, J",,Little Sports Car,we,,0778,Hansen,,
"Morrissey, J",,Martinique,we,,0131,Remick,,
"Morrissey, J",,Scherzo for WW,we,,1033,Luverne,,
"Morrissey, J",,Skyline Ov,we,overture,0135,Morris,,
Moussorgsky,Leidzen,"""B. Godunov""(Coronation Scene)",we,,0136,Fischer,,
Moussorgsky,"Schaefer, WA",Night on Bald Mountain,we,,1047,Highland,,
Moussorgsky,Leidzen,Pics at an Exhibition (Part III),we,,1376,Fischer,  01/93,WI/93
Mozart,Thornton,"""Divert. #14 in B-flat(All.Molto",we,,1012,TRN Music Pub,,
Mozart,Barden,Concerto #3(Rondo),we+fr horn,feature,0306,Kendor,,
"Mulet, H",,Carillon Brilliante,we,,1097,Barnhouse,,
Mutchler,,Concerto Grosso,we,,0703,KSM,,
Mutchler,,Remembrances,we+cornet,feature,0931,Kendor,,
Myers,,"Invincible USA, The",we,march size,0475,Seitz,,
Myers,,Return of Victorious Legions,we,march size,0476,Fillmore,,
Nelhybel,,2 Symphonic Mvmts,we,symphony,0938,Franco Columbo,,
Nelhybel,,Adagio & Allegro,we,,0622,Elkan-Vogel,,
Nelhybel,,Appassionato,we,,0830,Columbo,,
Nelhybel,,Cantus,we,,1331,Jenson,,
Nelhybel,,Ceremonial Mrch,we,march size,1072,Franco Columbo,,
Nelhybel,,Chorale,we,,0642,Colombo,,
Nelhybel,,Concertino da Camera,we/cham,feature,0878,Kerby,,
Nelhybel,,Festivo,we,,1198,Belwin Mills,,
Nelhybel,,Halleluiah,we,,1028,"Kerby, EC",,
Nelhybel,,Marcia Dorica,we,,0799,Columbo,,
Nelhybel,,Organum,we,,1027,"Kerby, EC",,
Nelhybel,,Praise to the Lord,we+trumpet,feature,1064,e.c. kerby,,
Nelhybel,,Prelude & Fugue,we,,0555,Frank,,
Nelhybel,,Sine Nomine (Alleluia & Amen),we+ch+org,,0901,Franco Columbo,,
Nelhybel,,Trittico,we,,0557,Columbo,,
Nelson,,Resonance I,we,,1402,Ludwig,Apr /94,
"Nelson, O",Tatgenhorst,Majorca,we,,0715,Marks,,
"Nelson, R",,Chaconne,we,,1531,Ludwig,2003/04,
"Nelson, R",,Fanfare for Celebration,we,,1290,Boosey +Hawkes,,
"Nelson, R",,Proc and Prayer of the Emp of Ch,we,,1083,Boosey +Hawkes,,
"Nelson, R",,Rocky Point Holiday,we,,0822,Boosey +Hawkes,,
"Nelson, Ron",,Courtly Airs and Dances,we,,1581,Ludwig,,
"Nelson, Ron",,Morning Alleluias,we,,1583,Ludwig,2006/07,
Nestico,,Greenbriars of Wexley,we,march,0625,Studio,,
Nestico,,Little Scout,we,,0773,Kendor,,
Nestico,,Montego Bay,we,samba,0533,Kendor,,
Nestico,,Portrait of a Trp,we+trp,feature,0310,Kendor,,
Nestico,,Tobaggan,we,march size,0528,Kendor,,
Nestico,,"Twinkle, Twinkle Rhap",we,elem band,0871,Kendor,,
Newman,Erickson,Conquest,we,march,1323,Belwin Mills,,
Nicolai,Godfrey,Merry Wives of Windsor,we,overture,0137,Hawkes and Son,,
Nixon,,Elegy & Fanfare March,we/march,march,0729,Fischer,,
Nixon,,Elegy & Fanfare March,we/march,march,1221,Fischer,,
Nixon,,Fiesta del Pacifico,we,,0633,Boosey +Hawkes,,
Nixon,,Music for a Civic Celebration,we,,0967,JC Penney,,
Nixon,,Nocturne,we,,0660,Galaxy,,
Noel,,K,we,march size,0477,Fillmore,,
Nolan,,Little Annie Rooney,we,march size,0591,Ascher,,
"Norman,Stoner",,Because It's My Flag,we,,1006,TV music,,
Oakland,,I'll Dance at Your Wedding,we,march size,0478,Leonard,,
O'Brien,,Spirit of Amer,we,march size,1005,Cimino,,
Offenbach,Greissle,La Belle Helene,we/opera,overture,0138,Schrimer,,
Offenbach,Odom,La Belle Helene,we/opera,overture,1112,Kjos,,
Offenbach,Fall,Orpheus,we/opera,overture,0139,Rubank,,
"Ohguri, H",Tsujii,Fant on Osaka Folk Tunes,we,,1340,Shawnee,,
O'Keefe,Briegel,Man on the Flying Trapeze,we,march size,0479,Robbins,,
Olivadoti,,El Caballero,we,Sp. March,0140,Rubank,,
"Oliver, R",,Classical Hallmarks,we,elem band,1117,Hal Leonard,,
"O'Reilly, John",,Fantasia on an Irish Hymn,we,,1449,Alfred Music,2000/02,
Orff,Krance,Carmina Burana,we,,1306,Schott,,
Osser,,Beguine Again,we,,0667,MCA,,
Osser,,Beguine for Band,we,,0143,Educ Musi Serv,,
Osterling,,Blue Mist,we,,0141,Ludwig,,
Osterling,,Totem Pole,we,March,0142,Bourne,,
Osterling,,Tropical Twilight,we,,0870,Belwin,,
Ostling,,Salute to Sousa,we,march size,0586,Belwin,,
Overgard,,"Force of Freedom, The",we,march size,0695,Kjos,,
Overgard,,Oriental Parade,we,march size,0700,Kjos,,
Overgard,,"Peace Corps Song,The",we,march size,0686,Kjos,,
Padilla,Lang,El Relicario,we,march,0144,Mills,,
Padilla,Longfield,El Relicario,we,,1497,C.L.Barnhouse,2001/03,
Palestrina,Harvey,Adoremus Te & Sanctus,we,,0145,Elkan-Vogel,,
Palestrina,Conley,Alleluia,we,,0789,Kendor,,
Panella,,"""Our Joe""",we/march,march size,0578,Panella,,
Panella,,Amer Red Cross March,we/march,march size,0480,Panella,,
Panella,,Amerita,we,march size,0576,Panella,,
Panella,Schulz,"Dreamy Waltz, That",we/march,march size,0483,Waterson,,
Panella,,Flag of Freedom,we/march,march size,0577,Panella,,
Panella,,On the Square,we/march,march size,0481,Morris,,
Panella,,Our School,we/march,march size,0482,Panella,,
Panella,,"Pitt Panther, The",we/march,march size,0579,Panella,,
Pares,Caillett,"""Le Voltigeur""",we,march,0724,LeBlanc,,
Penniman/LaBostrie,,Tutti Frutti,we,march size,0484,Leonard,,
"Pennington, J",,Apollo,we,,0888,Schirmer,,
Persichetti,,Bagatelles for Band,we,,0146,Elkan-Vogel,,
Persichetti,,Celebrations Cantanta #3 Op 103,we+ch,,0713,Elkan-Vogel,,
Persichetti,,Chorale Prelude-So Pure the Star,we,,0300,Elkan-Vogel,,
Persichetti,,Divertimento for Band(Op. 42),we,,0147,Oliver Ditson,,
Persichetti,,"Lincoln Address, A",we+n,,0916,Elkan-Vogel,,
Persichetti,,Masquerade for Band,we,,0623,Elkan-Vogel,,
Persichetti,,Pageant,we,,0875,Fischer,,
Persichetti,,Parable for Band,we,,0928,Elkan-Vogel,,
Persichetti,,Psalm for Band,we,,0716,Elkan-Vogel,,
Persichetti,,Serenade #1 for 10 Winds,we/cham,,0717,Elkan-Vogel,,
"Peterson, T",,Coast to Coast,we,march,0532,Kendor,,
"Peterson, T",,Empire State Salute,we,elem band,0780,Kendor,,
Pflingbeil,,Explicit 73,we,,0974,manuscript,,
"Phillips, B",,Concert Piece,we,feature,0734,Fischer,,
"Phillips, P",,Continuum for Winds,we,,0641,Bourne Co.,,
Piccini,Osterling,"Good Daughter, The",we,overture,0292,Ludwig,,
Pierne,Beeler,March Little Leaden Soldiers,we,march,0148,Boosey +Hawkes,,
"Pierpoint, James","Iwai, Naohiro",Jingle Bells,we/xmas,,1467,de haske,2000/03,
"Pinsuti, C",de Ville,When Life is Brightest,we+solo,feature,0149,Fischer,,
"Piston, W",,Turnbridge Fair,we,,0150,Boosey +Hawkes,,
Ployhar,,Concerto for Faculty+Band,we,novelty,0845,Byron-Douglas,,
Pola/Stieninger,Briegel,Marching Along Together,we,march size,0485,Robbins,,
"Polster, I",,Fight Song + Alma Mater,we,march,0814,Manuscript,,
"Polster, I",,Serenade for Band,we,,1024,,,
"Polster, I",,Summer Times,we,,0868,manuscript,,
"Polster, I",,Transformations,we,,0999,Robbins,,
Portella/Galhardo/,...Vale,Lisbon Antigua,we,march size,0486,Leonard,,
"Porter, C",Grey,"""Gay Divorcees""(Night and Day)",we/broadwa,,0759,Harms,,
"Porter, C",Osterling,"""Kiss Me, Kate""",we/broadwa,march size,0565,Buxton Hill,,
"Porter, C",Beck,"Blow, Gabriel, Blow",we+trpt,feature,0963,Harms,,
"Porter, C",Barker,Cole Porter on Broadway,we,broadway,1351,Warner Bros.,,
"Porter, C",Robinson,Cole Porter: Symphonic Portrait,we,broadway,1123,Chappell,,
Pottenger,,Suite for Band,we,,0536,Summy-Birchard,,
"Press, Jacques","Johnston, Herbert","Wedding Dance (from ""Hasseneh""",we,,1454,Ludwig Music,2000/02,
"Presser, W",,Capriccio,we+tuba,feature,0819,Presser Co,,
Price/Piersol,,Droodle Show #2,we,march size,0614,Leonard,,
Prokofieff,Duthoit,"""Love of 3Orange""(Mrch+Scherzo)",we/opera,,0152,Boosey +Hawkes,,
Prokofieff,Walters,"Troika, Op.60",we,,0151,Rubank,,
Prokofiev,Curnow,"""Lieutenant Kije""(Troika)",we,,1260,Jenson,,
"Puccini, Giacomo","Barrow, Edgar",La Boheme,we/opera,,1537,Detroit Concer,2003/04,
"Puccini, Giacomo","Bilik, Jerry",Scenes From La Boheme,we/opera,,1432,Hal Leonard,2000/02,
Purcell,Walker,"""Dido and Aneas""(Suite)",we/opera,,0293,Kjos,,
Purcell,Piata,Band Plays Purcell,we,elem band,0869,Luverne,,
"Purcell, H",Cailiet,Prelude + Passacaglia,we,,0153,Elkan,,
Quinn,,Portrait of the Land,we,,0154,Kjos,,
"Rado,Ragni,MacDerm","Polster, I",Aquarius/Let The Sunshine in,we,broadway,0798,United Artists,,
"Ramin, S",,Music to Watch Girls By,we,march,0815,SCP Music Corp,,
Ravel,Fogelberg,Pavane,we,,0309,Marks,,
Ravel,"Reed, A",Pavanne for a Dead Princess,we,,1334,Masters Music,,
Ravel,Hunsberger,"Valley of the Bells, The",we,,1243,Ludwig,,
"Ravel, Maurice","Bocook, Jay",Bolero,we,,1538,Hal Leonard,2003/04,
"Rawsthorne, A",,Street Corner Ov,we,overture,1108,Oxford Univ Pr,,
Reed,,3rd Suite for Band,we,,1385,Marks,FALL/93,10/93
Reed,,Alleluia! Landamus Te,we+org,,0948,Piedmont,,
Reed,,Armenian Dances (Part I),we,,1237,Sam Fox,,
Reed,,Armenian Dances (Part II),we,,1377,Barnhouse,  03/15,SP/93
Reed,,Ballade,we+sax,feature,0737,Hansen,,
Reed,,"Celebration Fanfare, A",we,,1332,Barnhouse,,
Reed,,Centennial!,we,,1304,Hal Leonard,,
Reed,,Divertimento For Flute,we,,1489,Molenaar,2001/01,
Reed,,Double Wind Quin,we/cham,feature,1003,,,
Reed,,El Camino-A Latin Fantasy,we,,1439,Edward B. Mark,2000/02,
Reed,,"Festival Prelude, A",we,overture,0155,Marks,,
Reed,,First Suite for Band,we,,1486,Hal Leonard,2001/01,
Reed,,"Hounds of Spring, The",we,symphony,1185,Belwin Mills,,
Reed,,In Dulci Jubilo,we,,0810,Sam Fox,,
Reed,,"Jubilant Ov, A",we,overture,1036,Birch Island,,
Reed,,Millennium III,we,,1485,C.L. Barnhouse,2001/01,
Reed,,Pledge of Allegiance,we,,0850,Peidmont,,
Reed,,Poetry & Power,we,,0639,LeBlanc,,
Reed,,Punchinello-Ov to a Romantic Com,we,,1186,Birch Island,,
Reed,,Rahoon,we+cl,feature,0560,Marks,,
Reed,,Russian Christmas Music,we,,1206,Sam Fox,,
Reed,,"Sacred Suite, A",we,,0265,Piedmont,,
Reed,,Sixth Suite for Band,we,,1487,Hal Leonard,2001/01,
Reed,,Viva Musica,we,overture,1368,Hal Leonard,  04/92,05/92
"Reed, Alfred",,Giligia,we,,1578,Hal Leonard,,
"Reed, H.O.",,La Fiesta Mexicana,we,we,0250,Mills,,
Reeves,Hildreth,22nd Connecticut,we/march,march size,0487,Jacobs,,
Reeves,Fennell,Wash. Greys March,we/march,march,1355,Fischer,,
Reichner/Lowe,,"Teenage Prayer, A",we,march size,0488,Leonard,,
Reinagle,"Smith, R","Federal March, The",we/march,200th Cele,0983,JCPenneys,,
"Reineke, Steven",,Sedona,we,,1511,C.L. Barnhouse,2002/04,
"Reisteter, Steve",,"Eighth Candle, The",we,,1520,Arrangers Pub.,2003/04,
"Rene, H",Werle,Passion in Paint,we,,0156,Mills,,
Respighi,Duker,"Pines of Rome, The",we,,1393,Hal Leonard,FALL/93,
Reynolds,Verne,Scenes,we,,0939,Schrimer,,
Richards,,"Meteor, The",we,march size,0489,Fillmore,,
Riegger,,"Dance Rhythms, Op. 58a",we,,0680,Associated,,
"Rigsby,Seldon,Mins","Scott, W","""Irene""(Ov)",we,overture,1040,Big 3 Music Co,,
Rimsky-Korsakoff,Johnson,"""Capriccio Espagnol""(Themes)",we,,0157,Belwin,,
Rimsky-Korsakov,Leidzen,"""Mlada""(Process of the Nobles)",we,march,1223,Fischer,,
Rimsky-Korsakov,Nallin/Shuman,Concerto for Trb + band,we+trb,feature,0158,Leeds,,
Rimsky-Korsakov,Leidzen,Procession of the Nobles,we,,0159,Fischer,,
Rimsky-Korsakov,Bocook,Procession of the Nobles,we,,1472,Musicworks,2000/07,
Rimsky-Korsakov,Carter,Scheherazade,we,march size,0730,Southern,,
Ringle/Klickmann/B,,Broken Hearted Blues,we,march size,0597,McKinley,,
Rizzo/Horton/Blalo,Robinson,"Flea, The",we+fl,feature,0647,Sam Fox,,
Roberts,Benter,Smiles,we,march size,0490,Remick,,
"Roberts, CJ",,Jingle Bells,we,march size,0593,Fischer,,
Robertson,,"Happy Whistler, The",we,march size,0491,Leonard,,
"Rodgers, R",Bennett,"""No Strings""",we,broadway,0254,Williamson,,
"Rodgers, R",Leidzen,"""Oklahoma""(Selections)",we/broadwa,broadway,0661,Williamson,,
"Rodgers, R",Erickson,"""Sound of Music""",we/broadwa,march size,0562,Williamson,,
"Rodgers, R",Carter,"""South Pacific""(Mrch Ov)",we/broadwa,march size,0645,Williamson,,
"Rodgers, R",Bennett,"""The King and I""(Selections)",we/broadwa,broadway,0264,Williamson,,
"Rodgers, R",Bennett,"""The Sound of Music""(Selections)",we/broadwa,broadway,0275,Williamson,,
"Rodgers, R",Bennett,Do I Hear a Waltz,we/broadwa,broadway,0545,Williamson,,
"Rodgers, R",Leidzen,Guadalcanal Mrch,we,march,0161,Williamson,,
"Rodgers, R",Maltby,Mountain Greenery,we+clar,feature,0959,Harms,,
"Rodgers, R",,Slaughter on 10th Ave,we+piano,feature,0162,,,
"Rodgers, R",Bennett,South Pacific,we/broadwa,,1491,Hal Leonard,2001/03,
"Rodgers, R",Bennett,Victory at Sea,we,,1341,Hal Leonard,,
Rodgers/Hagan,Bullock,Harlem Nocturne,we,,1292,"Shapiro,Bernst",,
Rogers,Lowden,Sounds from Kenny Rogers,we,elem band,1168,Hal Leonard,,
"Rogers, B",,3 Japanese Dances,we,folk,0937,Presser,,
Romberg,Wright,"""The Student Prince""(selections)",we,broadway,0163,Chappell,,
Romberg,Maclean/Beeler,"Tribute to Romberg, A",we,Broadway,0164,Harms,,
Romberg/Hammerstei,Bennett,When I Grow too Old to Dream,we,march size,0492,Robbins,,
Romberg+Hammerstei,Beck,"Softly, as in a Morning Sunrise",we+flute,feature,0964,Harms,,
Rose,Herfurth,Holiday for Trb,we+trb,feature,0965,Bregman/Vocoo,,
"Rose, D",Warrington,"Stripper, The",we,,0652,David Rose,,
"Rose, R",,Dance of the Molecules,we,novelty,0529,Kjos,,
Rosenkrans,,Rememberance of Col. Miner,we,march size,0493,Miller,,
Rossini,Townsend,3 Mrchs for Marr of Duke of Orle,we,march,1085,"Kerby, EC",,
Rossini,Hermann/Glazier,"Into, Theme, + Var",we+clar,feature,1165,Oxford Univ Pr,,
Rossini,Cailliet,Italian in Algiers,we,overture,0165,Sam Fox,,
Rossini,Townsend,Mrch for The Sultan Abdul Medjid,we,,0677,Mercury,,
Rossini,Britten/Brown,Soirees Musicales,we,,1057,Boosey +Hawkes,,
