COMPOSER,ARRANGER,TITLE,MEDIUM,CATEGORY,SHELF_X,PUBLISHER,DATE_ADDED,PERFORMED
"Bennett, H",,Activity,we,march size,0333,Fillmore,,
"Bennett, H",,Power,we,march size,0334,Fillmore,,
"Bennett, H",,Precision,we,march size,0335,Fillmore,,
"Bennett, H",,Sabo,we,march size,0336,Fillmore,,
"Bennett, RR",,Suite of Old Am. Dances,we,,0237,Chappell,,
"Bennett, RR",,Symphonic Songs for Band,we,,0873,Chappell,,
"Benson, W",,Ginger Marmalade,we,,1131,Fischer,,
"Benson, W",,"Leaves are Falling, The",we,,0818,Piedmont,,
"Benson, W",,"Solitary Dancer, The",we,,1133,MCA Music,,
Bergsma,,March with Trpts,we+trmpts,march,0019,Galaxy,,
Berlin,Leidzen,God Bless America,we,march size,0337,Berlin,,
Berlin,"Ades, H",I. Berlin-A Symphonic Portrait,we,,1359,Concert Works,,
Bernstein,Beeler,"""Candide"" (Ov)",we,overture,0239,Schirmer,,
Bernstein,Hunsberger,"""MASS"" (Meditation #2)",we,,0929,Schirmer,,
Bernstein,"Polster, I","""MASS"" (Simple Song)",we,symphony,0879,,,
Bernstein,Stith,"""On the Town""(3 Dance Episodes)",we,,0876,Warner Bros.,,
Bernstein,Duthoit,"""West Side Story""",we,Broadway,0021,Schirmer,,
Bernstein,Erickson,"""West Side Story""",we,march size,0764,Schirmer,,
Bernstein,Gilmore,"""West Side Story"" (Prologue)",we,Broadway,0020,Schirmer,,
Bernstein,"Polster, I","""West Side Story"" (Symp Dance)",,broadway,0824,Manuscript,,
Bernstein,Maltby,"""Wonderful Town""(Wrong Note Rag)",we,elem band,1115,Presser,,
Bernstein,Grundman,"Bernstein Tribute, A",we,,1388,Boosey&Hawkes,FALL/93,
Bernstein,Krance,Danzon,we,,0813,Harms,,
Bernstein,Grundman,Slava!,we,overture,1211,Amberson Ent,,
Bernstein,"Polster, I",Symphonic Dance Music,we,broadway,0893,manuscript,,
Bertram,Mills,"Line-up, The",we,march size,0338,Jacobs,,
Bielawa,,Spectrum,we + elec,,0723,Shawnee Press,,
Bigelow,Hildreth,Our Director,we,march size,0339,Jacobs,,
Bilik,,American Civil War Fantasy,we,,0248,Southern,,
Bilik,,Block M (concert mrch),we,march,0738,Mills,,
Bilik,,Concertino for Alto Sax and Band,we+sax,feature,1069,Bilik Music,,
Bilik,,Magna Cum Laude,we,march,0629,French,,
Bilik,,Ogden Nash Suite,we,feature,0553,Sam French,,
Bilik,,Ov Alfresco,we,,1349,Jenson,,
Bilik,,Symp for Concert Band,we,symphony,0906,Bilik,,
Bilik,,They Walked in Darkness,we,,0896,Bilik,,
Billings,Goldman,America,we,200th Cele,0983,JCPenneys,,
"Binge, R",Calliet,"Red Sombrero, The",we,,0630,Harman,,
Bizet,Godfrey,"""Carmen""",we,opera,0183,Chappell,,
Bizet,McDonald,"""Carmen""(Routine)",we/opera,march size,0731,Southern,,
Bizet,Bullock,Carmen Suite,we/opera,,1325,Columbia,,
Bizet,Finek-Duthoit,L'Arlesienne Suite #1,we,,0022,Boosey +Hawkes,,
Bizet,Finek-Duthoit,L'Arlesienne Suite #2,we,,0023,Boosey +Hawkes,,
Bizet,"Cailliet, Lucien",The Pearl Fishers,we,overture,1448,Sam Fox Pub. C,2000/02,
Black,,Paper Doll,we,march size,0340,Marks,,
Black/Barry,"Powers, R",Born Free/Chipmunk Song,we,elem band,0754,Funway,,
Bliss,Erickson,"Age of Kings, An",we,,0684,Chappell,,
"Bloch, E",Goldman,"""America""(Anthem)",we,,0972,JC Penneys,,
Bloom,Leidzen,Song of the Bayou,we,,0024,Feist,,
Bock,Burden,"""Fiddler on the Roof""(Selec)",we,broadway,1082,Hansen,,
"Boerma, Scott",,Fanfare for a Golden Sky,we,,1553,Kjos Music Co.,2004/05,
"Bonelli, G.",Falcone,Symphonic Concert March,we/march,,1421,Southern Music,2000/02,
Botkin,Nowak,"""Mork and Mindy""(Theme)",we,,1144,Addax Music Co,,
Bourdon,Sanders,Cities Service Mrch,we,march size,0341,Ascher,,
Bowles,,Easy Street Blues,we,march size,0698,Kjos,,
Bowles,,"Minstrels, The",we,,0674,Belwin,,
Bowles,,"Peck Horn's Revenge, The",we,,0942,Fitzsimmons,,
Bowles,,Promenade Blues,we,,0263,Kjos,,
Boyer,,Ariane Ov,we,overture,0933,Witmark + sons,,
Brader,Chenette,"Rialto, The",we,march size,0342,Dalbey,,
Brahms,Safranek,Academic Festival,we,overture,1280,Fischer,,
Brahms,Buehlman,Ger. Requium (Blessed Are They),we,,1328,Ludwig,,
Brahms,Holmes,Waltz Op.39 No.15,we,,0026,Fitzsimmons,,
"Brant, H",,Verticals Ascending,we,,0784,MCA Music,,
"Bremer, Carolyn",,Early Light (2 sets),we,,1576,Carl Fischer,2006/07,
"Bricusse, L",Whitcomb,"""Dr. Dolittle""(Selections)",we,,0854,Hastings,,
Bright,,Concerto Grosso #1 in E-minor,we,,0960,Shawnee,,
"Brooks, Mel","Ricketts, Ted","Producers, The",we/broadwa,,1517,Hal Leonard,2003/04,
Brown,"Smith, R",NY Light Guards Quickstep,we,,0972,JC Penneys,,
Brown,Akst,Stand up and Cheer,we,march size,0344,Movietone,,
Browne,,Sonoro & Brioso for Winds,winds,feature,0732,Summy-Birchard,,
Bruckner,Buehlman,Ave Maria,we,,1397,Ludwig,Apr /94,
Brunelli,,In Memoriam,we,,1132,Chappell,,
Bucalossi,Brown,"Grasshopper's Dance, The",we+piano,feature,0027,Boosey +Hawkes,,
Buchtel,,"""Bluebells"" (Mrch)",we,march size,0345,Kjos,,
Budka,,4 Winds,we+winds,feature,0976,Summy,,
"Buehlman,Whitcomb",,For Stars and 1/2 Stars,we,,1004,Heritage,,
"Buie, Cobb, Gordy",,Traces,we,elem band,0891,Hal Leonard,,
Bukvich,,Dinosaurs,we,,1373,Phoebus,  09/92,  11/92
Bukvich,,Symphony #1,we,,1384,Wingert-Jones,FALL/93,10/93
Bukvich,,VooDoo,we,,1422,Wingert-Jones,2000/02,
"Bulla, Stephen",,Heralds For An Occasion,we,,1428,Cornow Music P,2000/02,
Bunton,,Hills of Friendship,we,march,0548,Kendor,,
Burke,"Leidzon, E",Danza Alegre,we+trmpt,feature,1037,Fischer,,
Burke,"Williamson, D",Hennesey's Theme,we,march size,0693,Luverne Inc,,
Burke/Roye,Yoder,They were Doin' the Mambo,we,march size,0347,Mayfair,,
Busch,,Prelude,we,,0028,Schirmer,,
Byrd,Jacob,"Battell, The",we,,0668,Boosey +Hawkes,,
Cable,,Brazilian Fest,we,,0556,MCA,,
Cacavas,,Campus Martius,we,march,0256,General Mus Co,,
Cacavas,,Fanfare & Scenario,we,,0030,Bourne,,
Cacavas,,Midnight Soliloquy,we+sax 4,feature,0973,Marks,,
Cahn/Van Heusen,"Warrington, J",Walking Happy,we,march size,0651,"Shapiro,Bernst",,
Cailliet,,Fete-Dieu a Seville,we,,0742,Sam Fox,,
Calhoun,,Shake Rattle and Roll,we,march size,0348,Leonard,,
Calliet,,Atten - tion,we,march size,0349,Leblanc,,
Caponegro,,Meteorock,we,elem band,0917,Kendor,,
Carazo,,El Matador,we,march,0029,Rubank,,
Carmichael,Lang,It's A Grand Old Day,we,march size,0688,Mills,,
Carmichael,Nestico,Stardust,we,,0671,Mills,,
Carmicheal,Yoder,Stardust,we,,0031,Mills,,
Carpenter,"Cacavas, J",Sounds of the Carpenters,we,,0867,JW Pepper +Son,,
"Carroll, B",,Calyspo Holiday,we,Elem Band,0796,Alfred,,
"Carroll, B",,Zing! Boom!,we,Elem Band,0794,Alfred,,
"Carter, C",,Petite Etude,we,Elem Band,0797,Luverne,,
Cavez,Werle,Tamboo,,,1582,,,
Chabrier,"Davis, A",Habanera,we,,0673,Belwin,,
Chabrier,Froseth,Larghetto,we,feature,0253,Kjos,,
Chambers,,March Religioso,we/march,march size,0351,Fischer,,
Chaminade,Wilson,Concertino,we + flute,feature,0032,Fischer,,
Chance,,Blue Lake Ov,we,overture,1235,Boosey +Hawkes,,
Chance,,Incantation & Dance,we,,1084,Boosey +Hawkes,,
Chance,,Intro & Capriccio for PA + 24 W.,we + pa,feature,0650,Boosey +Hawkes,,
Chance,,Sym #2,we,symphony,1062,Boosey +Hawkes,,
Chance,,Var on a Korean Folk Song,we,,1194,Boosey +Hawkes,,11/92
Charrosin,Duthoit,2 Little Japs,we,,0033,Boosey +Hawkes,,
Chattaway,,"Hot Time, A",we,march size,0352,Fischer,,
Chattaway,,Parade of the Tall Ships,we,march,1192,Wm Allen Music,,
Chattaway,,Span. Fever,we,,1089,Wm Allen Music,,
Chavez,,"""Chaputepec""(Cancion de Adelita)",we,March,0279,Mills,,
Chavez,,"""Chaputepec""(Marcha Provinciana)",we,March,0277,Mills,,
Chavez,,"""Chaputepec""(Vals Nostalgia)",we,,0278,Mills,,
Chopin,Ployhar,Cantabile from Fantasie Imprompt,we,elem band,0956,Hal Leonard,,
"Christensen, J",,Trombone Country,we+trb,feature,1019,Hal Leonard,,
"Christiansen, F",,Manitou Heights,we,march,0034,Kjos,,
Churchill,Becker,"""Snow White""(Heigh-Ho)",we,march size,0353,Berlin,,
Clark,,"AY, AY, AY!",we,march size,0588,Schirmer,,
Clarke,,Bride of the Waves,we+cornet,feature,0035,Fischer,,
Clarke,,Carnival of Venice,we+cornet,feature,0036,Witmark,,
Clarke,,Carnival of Venice,we+cornet,feature,1313,Witmark + Sons,,
Coates,Williams,London Suite # 607,we,,0037,Chappell,,
"Coates, Eric",Wagner,The Dam Busters,we,,1570,,,
Cobb/Edwards,Lang,School Days,we,,0038,Gus Edwards,,
Coben,,"Old Piano Roll Blues, The",we,march size,0354,Leonard,,
"Cofield, F",,Trumpercussion,we+tr quar,feature,0980,Hal Leonard,,
Cohan,Werle,"Cohan Broadway Festival, A",we,broadway,1110,Bourne,,
Cohan,,"Yankee Doodle Boy,The",we,march size,0355,Vogel,,
Cohan,,You're a Grand Old Flag,we,march size,0357,Vogel,,
Cohn,Sciacca,Too Busy,we,march size,0603,Feist,,
Colby,Huffer,Headlines,we,,0039,Witmark,,
"Collier, R",,Lyric for Trpt,we+trmpt,feature,1031,Kendor,,
"Conley, L",,Buy My Tortillas,we,elem band,0771,Kendor,,
"Conley, L",,Pine Tree Patrol,we,elem band,0751,Kendor,,
"Conley, L",,Silver Baton Mrch,we,March size,0690,Kendor,,
Conrad/Magidson,Hunsberger,(Rhap on) Midnight in Paris,we,March,0246,Sam Fox,,
Copland,,"""Appalachian Spring""",we,,1210,Boosey +Hawkes,,
Copland,"Grundman, C","Copland Portrait, A",we,,1288,Boosey +Hawkes,,
Copland,"Patterson, Merlin",Down a Country Lane,we,,1547,Boosey&Hawkes,2003/04,
Copland,,Emblems,we,,0550,Boosey +Hawkes,,
Copland,Beeler,Lincoln Portrait,we,feature,0041,Boosey +Hawkes,,
Copland,,"Outdoor Ov, An",we,overture,0040,Boosey +Hawkes,,
Copland,,Preamble for a Solemn Occassion,we,,0990,Boosey +Hawkes,,
Copland,,"Red Pony, The",we/film,,0790,Boosey +Hawkes,,
"Copland, Aaron",Rogers,Danzon Cubano,we,,1577,Boosey +Hawkes,,
"Corelli, A",McLin,Preludio,we,,0776,Pro Art,,
Cowan,Leidzen,Waltzing Matilda,we,march size,0358,Fischer,,
Cowell,,Hymn and Fuguing Tune #1,we,,0657,Leeds,,
Cowell,,Little Concerto,we+piano,feature,0714,Associated,,
Creatore,Falcone,March Electric,we/march,march,0656,Summy-Birchard,,
Creston,,Anatolia (Turkish Rhap),we,,0735,Shawnee Press,,
Creston,,Celebration Ov,we,overture,0042,Templeton,,
Creston,,Concertino op21B,we+Marim,feature,1301,G. Schirmer,,
Creston,,Prelude & Dance,we,,0682,Columbo,,
